Epoch 0, Train Loss: 790.0528564453125
Epoch 1, Train Loss: 471.70367431640625
Epoch 2, Train Loss: 231.9560546875
Epoch 3, Train Loss: 160.87850952148438
Epoch 4, Train Loss: 155.56080627441406
Epoch 5, Train Loss: 147.20223999023438
Epoch 6, Train Loss: 135.84506225585938
Epoch 7, Train Loss: 122.47822570800781
Epoch 8, Train Loss: 108.49311828613281
Epoch 9, Train Loss: 97.30970764160156
Epoch 10, Train Loss: 90.51571655273438
Epoch 11, Train Loss: 86.99374389648438
Epoch 12, Train Loss: 85.07574462890625
Epoch 13, Train Loss: 83.9041748046875
Epoch 14, Train Loss: 83.03707122802734
Epoch 15, Train Loss: 81.76068115234375
Epoch 16, Train Loss: 79.98084259033203
Epoch 17, Train Loss: 78.1439437866211
Epoch 18, Train Loss: 76.48400115966797
Epoch 19, Train Loss: 75.03945922851562
Epoch 20, Train Loss: 73.73080444335938
Epoch 21, Train Loss: 72.57762145996094
Epoch 22, Train Loss: 71.55247497558594
Epoch 23, Train Loss: 70.60231018066406
Epoch 24, Train Loss: 69.73312377929688
Epoch 25, Train Loss: 68.99870300292969
Epoch 26, Train Loss: 68.41230010986328
Epoch 27, Train Loss: 67.96574401855469
Epoch 28, Train Loss: 67.55840301513672
Epoch 29, Train Loss: 67.1433334350586
Epoch 30, Train Loss: 66.65254211425781
Epoch 31, Train Loss: 66.05732727050781
Epoch 32, Train Loss: 65.38992309570312
Epoch 33, Train Loss: 64.72175598144531
Epoch 34, Train Loss: 64.15172576904297
Epoch 35, Train Loss: 63.70766067504883
Epoch 36, Train Loss: 63.384002685546875
Epoch 37, Train Loss: 63.143943786621094
Epoch 38, Train Loss: 62.91022872924805
Epoch 39, Train Loss: 62.63432312011719
Epoch 40, Train Loss: 62.314640045166016
Epoch 41, Train Loss: 61.95558166503906
Epoch 42, Train Loss: 61.562564849853516
Epoch 43, Train Loss: 61.18771743774414
Epoch 44, Train Loss: 60.85979461669922
Epoch 45, Train Loss: 60.58073043823242
Epoch 46, Train Loss: 60.33164596557617
Epoch 47, Train Loss: 60.09815216064453
Epoch 48, Train Loss: 59.86305236816406
Epoch 49, Train Loss: 59.62198257446289
Epoch 50, Train Loss: 59.367156982421875
Epoch 51, Train Loss: 59.114227294921875
Epoch 52, Train Loss: 58.86549758911133
Epoch 53, Train Loss: 58.625144958496094
Epoch 54, Train Loss: 58.386024475097656
Epoch 55, Train Loss: 58.15484619140625
Epoch 56, Train Loss: 57.90794372558594
Epoch 57, Train Loss: 57.68009948730469
Epoch 58, Train Loss: 57.461891174316406
Epoch 59, Train Loss: 57.247886657714844
Epoch 60, Train Loss: 57.02946472167969
