Epoch 0, Train Loss: 237.54666137695312
Epoch 1, Train Loss: 146.42173767089844
Epoch 2, Train Loss: 77.3670654296875
Epoch 3, Train Loss: 40.21405029296875
Epoch 4, Train Loss: 34.19085693359375
Epoch 5, Train Loss: 32.40803527832031
Epoch 6, Train Loss: 30.69678497314453
Epoch 7, Train Loss: 29.749916076660156
Epoch 8, Train Loss: 29.080034255981445
Epoch 9, Train Loss: 28.74312973022461
Epoch 10, Train Loss: 27.6983642578125
Epoch 11, Train Loss: 25.967784881591797
Epoch 12, Train Loss: 24.437747955322266
Epoch 13, Train Loss: 22.847614288330078
Epoch 14, Train Loss: 21.34872817993164
Epoch 15, Train Loss: 20.100811004638672
Epoch 16, Train Loss: 19.173545837402344
Epoch 17, Train Loss: 18.530452728271484
Epoch 18, Train Loss: 18.112133026123047
Epoch 19, Train Loss: 17.829513549804688
Epoch 20, Train Loss: 17.564125061035156
Epoch 21, Train Loss: 17.253005981445312
Epoch 22, Train Loss: 16.893226623535156
Epoch 23, Train Loss: 16.523361206054688
Epoch 24, Train Loss: 16.157201766967773
Epoch 25, Train Loss: 15.836394309997559
Epoch 26, Train Loss: 15.610055923461914
Epoch 27, Train Loss: 15.462929725646973
Epoch 28, Train Loss: 15.276899337768555
Epoch 29, Train Loss: 14.97755241394043
Epoch 30, Train Loss: 14.563971519470215
Epoch 31, Train Loss: 14.135760307312012
Epoch 32, Train Loss: 13.707061767578125
Epoch 33, Train Loss: 13.268223762512207
Epoch 34, Train Loss: 12.863138198852539
Epoch 35, Train Loss: 12.567850112915039
Epoch 36, Train Loss: 12.352960586547852
Epoch 37, Train Loss: 12.148635864257812
Epoch 38, Train Loss: 11.959405899047852
Epoch 39, Train Loss: 11.755573272705078
Epoch 40, Train Loss: 11.514801025390625
Epoch 41, Train Loss: 11.306640625
Epoch 42, Train Loss: 11.08203125
Epoch 43, Train Loss: 10.853370666503906
Epoch 44, Train Loss: 10.618104934692383
Epoch 45, Train Loss: 10.387838363647461
Epoch 46, Train Loss: 10.161745071411133
Epoch 47, Train Loss: 9.90952205657959
Epoch 48, Train Loss: 9.70070743560791
Epoch 49, Train Loss: 9.519742012023926
Epoch 50, Train Loss: 9.310532569885254
Epoch 51, Train Loss: 9.11355209350586
Epoch 52, Train Loss: 8.94308090209961
Epoch 53, Train Loss: 8.793694496154785
Epoch 54, Train Loss: 8.636560440063477
Epoch 55, Train Loss: 8.472783088684082
Epoch 56, Train Loss: 8.305209159851074
Epoch 57, Train Loss: 8.117520332336426
Epoch 58, Train Loss: 7.965938568115234
Epoch 59, Train Loss: 7.7860565185546875
Epoch 60, Train Loss: 7.63506555557251
Epoch 61, Train Loss: 7.420918941497803
Epoch 62, Train Loss: 7.257203102111816
Epoch 63, Train Loss: 7.0883283615112305
Epoch 64, Train Loss: 6.863838195800781
Epoch 65, Train Loss: 6.771951675415039
Epoch 66, Train Loss: 6.620243549346924
Epoch 67, Train Loss: 6.4055962562561035
Epoch 68, Train Loss: 6.245907306671143
Epoch 69, Train Loss: 6.185146331787109
Epoch 70, Train Loss: 6.040834903717041
Epoch 71, Train Loss: 5.91865348815918
Epoch 72, Train Loss: 5.591475963592529
Epoch 73, Train Loss: 5.699835300445557
Epoch 74, Train Loss: 5.416288375854492
Epoch 75, Train Loss: 5.340427398681641
Epoch 76, Train Loss: 5.226076126098633
Epoch 77, Train Loss: 5.085705757141113
Epoch 78, Train Loss: 5.091137886047363
Epoch 79, Train Loss: 4.751821517944336
Epoch 80, Train Loss: 4.771085262298584
Epoch 81, Train Loss: 4.5605268478393555
Epoch 82, Train Loss: 4.50604248046875
Epoch 83, Train Loss: 4.4273881912231445
Epoch 84, Train Loss: 4.229757308959961
Epoch 85, Train Loss: 4.224644184112549
Epoch 86, Train Loss: 4.111727714538574
Epoch 87, Train Loss: 3.9988698959350586
Epoch 88, Train Loss: 3.9118998050689697
Epoch 89, Train Loss: 3.834077835083008
Epoch 90, Train Loss: 3.8461716175079346
Epoch 91, Train Loss: 4.188568115234375
Epoch 92, Train Loss: 3.805788278579712
Epoch 93, Train Loss: 3.984952926635742
Epoch 94, Train Loss: 4.090918064117432
Epoch 95, Train Loss: 4.251786231994629
Epoch 96, Train Loss: 3.838890790939331
Epoch 97, Train Loss: 3.8219590187072754
Epoch 98, Train Loss: 3.768343925476074
Epoch 99, Train Loss: 3.5341243743896484
Epoch 100, Train Loss: 3.5590145587921143
Epoch 101, Train Loss: 3.309720039367676
Epoch 102, Train Loss: 3.2558674812316895
Epoch 103, Train Loss: 3.13897705078125
Epoch 104, Train Loss: 3.0705080032348633
Epoch 105, Train Loss: 2.9411239624023438
Epoch 106, Train Loss: 2.8991246223449707
Epoch 107, Train Loss: 2.846524715423584
Epoch 108, Train Loss: 2.7860331535339355
Epoch 109, Train Loss: 2.6626014709472656
Epoch 110, Train Loss: 2.6445040702819824
Epoch 111, Train Loss: 2.5315608978271484
Epoch 112, Train Loss: 2.4713473320007324
Epoch 113, Train Loss: 2.473733901977539
Epoch 114, Train Loss: 2.335897207260132
Epoch 115, Train Loss: 2.3423690795898438
Epoch 116, Train Loss: 2.3400392532348633
Epoch 117, Train Loss: 2.477386236190796
Epoch 118, Train Loss: 2.7742114067077637
Epoch 119, Train Loss: 2.3521738052368164
Epoch 120, Train Loss: 2.500338554382324
Epoch 121, Train Loss: 2.1525332927703857
Epoch 122, Train Loss: 2.306396007537842
Epoch 123, Train Loss: 2.133049964904785
Epoch 124, Train Loss: 2.1979329586029053
Epoch 125, Train Loss: 1.948627233505249
Epoch 126, Train Loss: 2.0205302238464355
Epoch 127, Train Loss: 1.904813289642334
Epoch 128, Train Loss: 1.9405133724212646
Epoch 129, Train Loss: 1.8607220649719238
Epoch 130, Train Loss: 1.7831882238388062
Epoch 131, Train Loss: 1.8817524909973145
Epoch 132, Train Loss: 1.716273546218872
Epoch 133, Train Loss: 1.7418186664581299
Epoch 134, Train Loss: 1.8851912021636963
Epoch 135, Train Loss: 1.9252382516860962
Epoch 136, Train Loss: 1.8117544651031494
Epoch 137, Train Loss: 1.9713648557662964
Epoch 138, Train Loss: 1.854233741760254
Epoch 139, Train Loss: 2.070249319076538
Epoch 140, Train Loss: 1.9055671691894531
Epoch 141, Train Loss: 1.8795207738876343
Epoch 142, Train Loss: 1.980115294456482
Epoch 143, Train Loss: 1.874586820602417
Epoch 144, Train Loss: 1.9049248695373535
Epoch 145, Train Loss: 1.7373547554016113
Epoch 146, Train Loss: 1.7270586490631104
Epoch 147, Train Loss: 1.7078056335449219
Epoch 148, Train Loss: 1.5335675477981567
