Epoch 0, Train Loss: 228.88656616210938
Epoch 1, Train Loss: 118.09349060058594
Epoch 2, Train Loss: 46.23798370361328
Epoch 3, Train Loss: 32.009178161621094
Epoch 4, Train Loss: 29.80164909362793
Epoch 5, Train Loss: 30.07186508178711
Epoch 6, Train Loss: 29.091594696044922
Epoch 7, Train Loss: 26.716617584228516
Epoch 8, Train Loss: 23.795194625854492
Epoch 9, Train Loss: 21.051992416381836
Epoch 10, Train Loss: 18.874675750732422
Epoch 11, Train Loss: 17.533931732177734
Epoch 12, Train Loss: 16.752300262451172
Epoch 13, Train Loss: 16.340038299560547
Epoch 14, Train Loss: 16.1757869720459
Epoch 15, Train Loss: 15.924115180969238
Epoch 16, Train Loss: 15.515907287597656
Epoch 17, Train Loss: 15.020088195800781
Epoch 18, Train Loss: 14.44598388671875
Epoch 19, Train Loss: 13.804779052734375
Epoch 20, Train Loss: 13.199068069458008
Epoch 21, Train Loss: 12.689520835876465
Epoch 22, Train Loss: 12.287090301513672
Epoch 23, Train Loss: 11.958634376525879
Epoch 24, Train Loss: 11.697128295898438
Epoch 25, Train Loss: 11.500008583068848
Epoch 26, Train Loss: 11.361931800842285
Epoch 27, Train Loss: 11.220474243164062
Epoch 28, Train Loss: 11.028599739074707
Epoch 29, Train Loss: 10.774234771728516
Epoch 30, Train Loss: 10.47071647644043
Epoch 31, Train Loss: 10.142400741577148
Epoch 32, Train Loss: 9.843900680541992
Epoch 33, Train Loss: 9.593528747558594
Epoch 34, Train Loss: 9.395322799682617
Epoch 35, Train Loss: 9.22573471069336
Epoch 36, Train Loss: 9.050509452819824
Epoch 37, Train Loss: 8.881294250488281
Epoch 38, Train Loss: 8.723796844482422
Epoch 39, Train Loss: 8.555387496948242
Epoch 40, Train Loss: 8.359079360961914
Epoch 41, Train Loss: 8.162080764770508
Epoch 42, Train Loss: 7.9704813957214355
Epoch 43, Train Loss: 7.787970066070557
Epoch 44, Train Loss: 7.617917060852051
Epoch 45, Train Loss: 7.443349361419678
Epoch 46, Train Loss: 7.257045269012451
Epoch 47, Train Loss: 7.070138931274414
Epoch 48, Train Loss: 6.9037604331970215
Epoch 49, Train Loss: 6.752634048461914
Epoch 50, Train Loss: 6.585795879364014
Epoch 51, Train Loss: 6.4139933586120605
Epoch 52, Train Loss: 6.246959686279297
Epoch 53, Train Loss: 6.093200206756592
Epoch 54, Train Loss: 5.970405578613281
Epoch 55, Train Loss: 5.855813980102539
Epoch 56, Train Loss: 5.725611209869385
Epoch 57, Train Loss: 5.646851539611816
Epoch 58, Train Loss: 5.522909164428711
Epoch 59, Train Loss: 5.34791374206543
Epoch 60, Train Loss: 5.228366374969482
Epoch 61, Train Loss: 5.100708961486816
Epoch 62, Train Loss: 4.978961944580078
Epoch 63, Train Loss: 4.886743545532227
Epoch 64, Train Loss: 4.786791801452637
Epoch 65, Train Loss: 4.739764213562012
Epoch 66, Train Loss: 4.639340877532959
Epoch 67, Train Loss: 4.490861892700195
Epoch 68, Train Loss: 4.435788154602051
Epoch 69, Train Loss: 4.330719470977783
Epoch 70, Train Loss: 4.182768821716309
Epoch 71, Train Loss: 4.155762672424316
Epoch 72, Train Loss: 4.275216579437256
Epoch 73, Train Loss: 4.170363426208496
Epoch 74, Train Loss: 4.006585121154785
Epoch 75, Train Loss: 3.9413352012634277
Epoch 76, Train Loss: 3.802143096923828
Epoch 77, Train Loss: 3.6417534351348877
Epoch 78, Train Loss: 3.659759521484375
Epoch 79, Train Loss: 3.62001895904541
Epoch 80, Train Loss: 3.389883279800415
Epoch 81, Train Loss: 3.4241127967834473
Epoch 82, Train Loss: 3.4110217094421387
Epoch 83, Train Loss: 3.2455713748931885
Epoch 84, Train Loss: 3.4812397956848145
Epoch 85, Train Loss: 3.510161876678467
Epoch 86, Train Loss: 3.1324729919433594
Epoch 87, Train Loss: 3.60001802444458
Epoch 88, Train Loss: 3.220304489135742
Epoch 89, Train Loss: 3.1147713661193848
Epoch 90, Train Loss: 2.9957194328308105
Epoch 91, Train Loss: 3.0154800415039062
Epoch 92, Train Loss: 2.915226459503174
Epoch 93, Train Loss: 2.71405029296875
Epoch 94, Train Loss: 2.777371883392334
Epoch 95, Train Loss: 2.610302686691284
Epoch 96, Train Loss: 2.639880895614624
Epoch 97, Train Loss: 2.433229446411133
Epoch 98, Train Loss: 2.4855709075927734
Epoch 99, Train Loss: 2.3164985179901123
Epoch 100, Train Loss: 2.289626121520996
Epoch 101, Train Loss: 2.2378406524658203
Epoch 102, Train Loss: 2.2004001140594482
Epoch 103, Train Loss: 2.12180495262146
Epoch 104, Train Loss: 2.0459201335906982
Epoch 105, Train Loss: 2.026958465576172
Epoch 106, Train Loss: 1.8830335140228271
Epoch 107, Train Loss: 1.9010297060012817
Epoch 108, Train Loss: 1.7771167755126953
Epoch 109, Train Loss: 1.7953851222991943
Epoch 110, Train Loss: 1.7341454029083252
Epoch 111, Train Loss: 1.740443229675293
Epoch 112, Train Loss: 1.8211538791656494
Epoch 113, Train Loss: 1.7674481868743896
Epoch 114, Train Loss: 1.7683043479919434
Epoch 115, Train Loss: 1.573463797569275
Epoch 116, Train Loss: 1.4865531921386719
Epoch 117, Train Loss: 1.5370166301727295
Epoch 118, Train Loss: 1.5931010246276855
Epoch 119, Train Loss: 1.649428367614746
Epoch 120, Train Loss: 1.445369005203247
Epoch 121, Train Loss: 1.3214350938796997
Epoch 122, Train Loss: 1.4514011144638062
Epoch 123, Train Loss: 1.4875950813293457
Epoch 124, Train Loss: 1.332767128944397
Epoch 125, Train Loss: 1.198897123336792
Epoch 126, Train Loss: 1.304352879524231
Epoch 127, Train Loss: 1.2420499324798584
Epoch 128, Train Loss: 1.194899559020996
Epoch 129, Train Loss: 1.2335000038146973
Epoch 130, Train Loss: 1.1212279796600342
Epoch 131, Train Loss: 1.1602838039398193
Epoch 132, Train Loss: 1.1137754917144775
Epoch 133, Train Loss: 1.0548335313796997
Epoch 134, Train Loss: 1.1096875667572021
Epoch 135, Train Loss: 1.016141653060913
Epoch 136, Train Loss: 1.008418083190918
Epoch 137, Train Loss: 1.02644681930542
Epoch 138, Train Loss: 0.9517799019813538
Epoch 139, Train Loss: 0.9292280673980713
Epoch 140, Train Loss: 0.9257771372795105
Epoch 141, Train Loss: 0.9002030491828918
Epoch 142, Train Loss: 0.896994948387146
Epoch 143, Train Loss: 0.8871029615402222
Epoch 144, Train Loss: 0.9091712832450867
Epoch 145, Train Loss: 1.085425615310669
