Epoch 0, Train Loss: 32.86275100708008
Epoch 1, Train Loss: 186.91729736328125
Epoch 2, Train Loss: 89.830078125
Epoch 3, Train Loss: 53.07710266113281
Epoch 4, Train Loss: 31.03771209716797
Epoch 5, Train Loss: 29.362184524536133
Epoch 6, Train Loss: 28.384807586669922
Epoch 7, Train Loss: 27.839698791503906
Epoch 8, Train Loss: 25.77096939086914
Epoch 9, Train Loss: 23.228208541870117
Epoch 10, Train Loss: 20.612545013427734
Epoch 11, Train Loss: 18.525001525878906
Epoch 12, Train Loss: 17.2423095703125
Epoch 13, Train Loss: 16.489482879638672
Epoch 14, Train Loss: 16.073322296142578
Epoch 15, Train Loss: 15.86080551147461
Epoch 16, Train Loss: 15.592144966125488
Epoch 17, Train Loss: 15.074955940246582
Epoch 18, Train Loss: 14.431690216064453
Epoch 19, Train Loss: 13.851318359375
Epoch 20, Train Loss: 13.423662185668945
Epoch 21, Train Loss: 13.085466384887695
Epoch 22, Train Loss: 12.758493423461914
Epoch 23, Train Loss: 12.386571884155273
Epoch 24, Train Loss: 12.029657363891602
Epoch 25, Train Loss: 11.699653625488281
Epoch 26, Train Loss: 11.321474075317383
Epoch 27, Train Loss: 10.933388710021973
Epoch 28, Train Loss: 10.56777572631836
Epoch 29, Train Loss: 10.258184432983398
Epoch 30, Train Loss: 9.94934368133545
Epoch 31, Train Loss: 9.659700393676758
Epoch 32, Train Loss: 9.446077346801758
Epoch 33, Train Loss: 9.214813232421875
Epoch 34, Train Loss: 9.02927303314209
Epoch 35, Train Loss: 8.813379287719727
Epoch 36, Train Loss: 8.531671524047852
Epoch 37, Train Loss: 8.255626678466797
Epoch 38, Train Loss: 7.993234634399414
Epoch 39, Train Loss: 7.765739917755127
Epoch 40, Train Loss: 7.598066329956055
Epoch 41, Train Loss: 7.448906421661377
Epoch 42, Train Loss: 7.281088352203369
Epoch 43, Train Loss: 7.124729156494141
Epoch 44, Train Loss: 6.949908256530762
Epoch 45, Train Loss: 6.787292957305908
Epoch 46, Train Loss: 6.67494010925293
Epoch 47, Train Loss: 6.5504865646362305
Epoch 48, Train Loss: 6.437150955200195
Epoch 49, Train Loss: 6.339974403381348
Epoch 50, Train Loss: 6.224838733673096
